"","prof_efectiva","materia_organica","drenaje_interno","drenaje_externo","ID_LOTE","ID_FINCA","PENDIENTE_RASTA","TERRENO_CIRCUN_RASTA","POSICION_PERFIL_RASTA","NO_CAPAS_RASTA","ESPESOR","COLOR_SECO","COLOR_HUMEDO","TEXTURA","RESIST_ROMPIMIENTO","PH_RASTA","CARBONATOS_RASTA","PROFUNDIDAD_CARBONATOS","PEDREG_SUPERF_PIEDRAS","PEDREG_SUPERF_ROCAS","PEDREG_PERFIL_PIEDRAS","PEDREG_PERFIL_ROCAS","HOR_PEDREG_ROCOSO_RASTA","HOR_PEDREG_ROCOSO_PROFUNDIDAD_RASTA","HOR_PEDREG_ROCOSO_ESPESOR_RASTA","PROFUND_PRIMERAS_ROCAS_PIEDRAS_RASTA..CM.","CAP_ENDURE_RASTA","PROFUND_CAP_ENDURE_RASTA","ESPESOR_CAP_ENDURE_RASTA","MOTEADOS_RASTA","PROFUND_MOTEADOS_RASTA","MOTEADOS_MAS70cm._RASTA","ESTRUCTURA_RASTA","OBSERVA_EROSION_RASTA","OBSERVA_MOHO_RASTA","OBSERVA_COSTRAS_DURAS_RASTA","SITIO_EXPUESTO_SOL_RASTA","OBSERVA_COSTRAS_BLANCAS_RASTA","OBSERVA_COSTAS_NEGRAS_RASTA","REGION_SECA_ARIDA_RASTA","OBSERVA_RAICES_VIVAS_RASTA","PROFUND_RAICES_VIVAS_RASTA","OBSERVA_PLANTAS_PEQUENAS_RASTA","OBSERVA_HOJARASCA_MO_RASTA","SUELO_NEGRO_BLANDO_RASTA","CUCHILLO_PRIMER_HTE_RASTA","CERCA_RIOS_QUEBRADAS_RASTA","RECUBRIMIENTO_VEGETAL__SUELO_RASTA"
"25",71,"MEDIA,MEDIA","BUENO","LENTO",1857,2082,4.5,"ONDULADO","PLANO",2,"40,31","ND,ND","3,32","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",25,"POCO AFECTADAS","NO","NO","SI","NO","BUENO"
"26",70,"MEDIA,MEDIA","BUENO","LENTO",1858,2083,11,"ONDULADO","LADERA PLANA",2,"63,7","ND,ND","3,35","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",43,"MUY AFECTADAS","NO","NO","SI","NO","BUENO"
"27",70,"MEDIA,MEDIA","BUENO","MODERADO",1864,2089,27.5,"MONTA‹OSO","LADERA CONVEXA",2,"34,36","ND,ND","3,34","FL,FL","BLANDO,BLANDO",5.5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",21,"POCO AFECTADAS","NO","NO","SI","NO","BUENO"
"28",70,"MEDIA,MEDIA","BUENO","LENTO",1872,2097,4,"ONDULADO","PLANO",2,"21,49","ND,ND","3,32","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",27,"PLANTAS NORMALES","NO","NO","SI","NO","BUENO"
"29",70,"MEDIA,MEDIA","BUENO","MODERADO",1874,2099,8,"ONDULADO","PLANO",2,"23,47","ND,ND","5,32","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",22,"PLANTAS NORMALES","NO","NO","SI","NO","REGULAR"
"30",70,"MEDIA,MEDIA","BUENO","LENTO",1875,2100,7,"ONDULADO","PLANO",2,"38,32","ND,ND","3,32","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",28,"MUY AFECTADAS","NO","NO","SI","NO","BUENO"
"31",70,"MEDIA,MEDIA","BUENO","MODERADO",1876,2101,23,"ONDULADO","LADERA PLANA",2,"34,36","ND,ND","3,35","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",16,"MUY AFECTADAS","NO","NO","SI","NO","BUENO"
"32",71,"MEDIA,MEDIA","BUENO","LENTO",1877,2102,10.5,"ONDULADO","LADERA PLANA",2,"40,31","ND,ND","3,32","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","GRANULAR","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",47,"PLANTAS NORMALES","NO","NO","SI","NO","BUENO"
"33",70,"MEDIA,MEDIA","BUENO","MODERADO",1878,2103,7.5,"ONDULADO","LADERA PLANA",2,"23,47","ND,ND","3,34","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","ATERRONADA","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",30,"MUY AFECTADAS","NO","NO","SI","NO","ESPACIADO"
"34",70,"MEDIA,MEDIA","BUENO","LENTO",1879,2104,8.5,"ONDULADO","LADERA PLANA",2,"29,41","ND,ND","3,35","FL,FL","BLANDO,BLANDO",5,"NO TIENE",NA,"SIN PIEDRAS","SIN ROCAS","SIN PIEDRAS","SIN ROCAS","NO",NA,NA,NA,"NO",NA,NA,"NO",NA,"NO","ATERRONADA","NO","NO","NO HAY","LA MANANA Y LA TARDE","NO HAY","NO HAY","NO","SI",30,"MUY AFECTADAS","NO","NO","SI","NO","BUENO"
